item_id,query,plan,human_acceptable,human_error_type
nestful_010,"Cindy has her eye on a sundress but thinks it is too expensive. It goes on sale for 15% less than the original price. Before Cindy can buy the dress, however, the store raises the new price by 25%. If the dress cost $51 after it went on sale for 15% off, what is the difference between the original price and the final price?","Step 0: {{0}} = add(arg_0=100, arg_1=25)
Step 1: {{1}} = divide(arg_0='{{0}}', arg_1=100)
Step 2: {{2}} = multiply(arg_0=51, arg_1='hardcoded_value')
Step 3: {{3}} = subtract(arg_0=100, arg_1=15)
Step 4: {{4}} = divide(arg_0='{{3}}', arg_1=100)
Step 5: {{5}} = divide(arg_0=51, arg_1='{{4}}')
Step 6: {{6}} = subtract(arg_0='{{2}}', arg_1='{{5}}')",no,missing_dependency
nestful_011,"Cindy has her eye on a sundress but thinks it is too expensive. It goes on sale for 15% less than the original price. Before Cindy can buy the dress, however, the store raises the new price by 25%. If the dress cost $51 after it went on sale for 15% off, what is the difference between the original price and the final price?","Step 0: {{0}} = add(arg_0=100, arg_1=25)
Step 1: {{1}} = divide(arg_0='{{0}}', arg_1=100)
Step 2: {{2}} = multiply(arg_0=51, arg_1='{{1}}')
Step 3: {{3}} = subtract(arg_0=100, arg_1=15)
Step 4: {{4}} = divide(arg_0='{{3}}', arg_1=100)
Step 5: {{5}} = divide(arg_0=51, arg_1='{{4}}')",no,incomplete_plan
nestful_012,The volume of a cube is 2197 cc. Find its surface.,"Step 0: {{0}} = cube_edge_by_volume(arg_0=2197)
Step 1: {{1}} = surface_cube(arg_0='hardcoded_value')",no,missing_dependency
nestful_013,"Cindy has her eye on a sundress but thinks it is too expensive. It goes on sale for 15% less than the original price. Before Cindy can buy the dress, however, the store raises the new price by 25%. If the dress cost $51 after it went on sale for 15% off, what is the difference between the original price and the final price?","Step 0: {{0}} = add(arg_0=100, arg_1=25)
Step 1: {{1}} = divide(arg_0='{{0}}', arg_1=100)
Step 2: {{2}} = multiply(arg_0=51, arg_1='{{1}}')
Step 3: {{3}} = subtract(arg_0=100, arg_1=15)
Step 4: {{4}} = divide(arg_0='{{3}}', arg_1=100)
Step 5: {{6}} = subtract(arg_0='{{2}}', arg_1='{{5}}')
Step 6: {{5}} = divide(arg_0=51, arg_1='{{4}}')",no,forward_reference
nestful_014,I have a string 'hello-world-123'. I want to remove all words with length 3 or less from it and then get the short hostname from the resulting string.,"Step 0: {{0}} = remove_short_words(text='hello-world-123')
Step 1: {{1}} = remove_short_words(text='hello-world-123')
Step 2: {{2}} = short_hostname(node_name='{{0}}')",yes,unnecessary_steps
nestful_015,"Given a + b = 1, find the value of 2a + 2b. Two solutions are presented below. Only
one is correct, even though both yield the correct answer.","Step 0: {{0}} = add(arg_0='{{2}}', arg_1=1)
Step 1: {{1}} = add(arg_0='{{0}}', arg_1=2)
Step 2: {{2}} = add(arg_0=2, arg_1=1)
Step 3: {{3}} = subtract(arg_0='{{1}}', arg_1='{{2}}')",no,forward_reference
nestful_016,"A is two years older than B who is twice as old as C. If the total of the ages of A, B and C be 37, the how old is B?","Step 0: {{0}} = subtract(arg_0=37, arg_1=2)
Step 1: {{1}} = multiply(arg_0='{{0}}', arg_1=2)
Step 2: {{3}} = divide(arg_0='{{1}}', arg_1='{{2}}')
Step 3: {{2}} = add(arg_0=4, arg_1=1)",no,forward_reference
nestful_017,The volume of a cube is 2197 cc. Find its surface.,"Step 0: {{0}} = cube_edge_by_volume(arg_0=2197)
Step 1: {{1}} = reminder(arg_0='{{0}}')",no,wrong_tool
nestful_018,I have a string 'hello-world-123'. I want to remove all words with length 3 or less from it and then get the short hostname from the resulting string.,"Step 0: {{0}} = remove_short_words(text='hello-world-123')
Step 1: {{1}} = short_hostname(node_name='{{1}}')",no,circular_dependency
nestful_019,I have a string 'hello-world-123'. I want to remove all words with length 3 or less from it and then get the short hostname from the resulting string.,"Step 0: {{0}} = remove_short_words(text='hello-world-123')
Step 1: {{1}} = short_hostname(node_name='hardcoded_value')",no,missing_dependency
nestful_020,"Cindy has her eye on a sundress but thinks it is too expensive. It goes on sale for 15% less than the original price. Before Cindy can buy the dress, however, the store raises the new price by 25%. If the dress cost $51 after it went on sale for 15% off, what is the difference between the original price and the final price?","Step 0: {{0}} = add(arg_0=100, arg_1=25)
Step 1: {{1}} = divide(arg_0='{{0}}', arg_1=100)
Step 2: {{2}} = multiply(arg_0=51, arg_1='{{1}}')
Step 3: {{3}} = subtract(arg_0='{{5}}', arg_1=15)
Step 4: {{4}} = divide(arg_0='{{3}}', arg_1=100)
Step 5: {{5}} = divide(arg_0=51, arg_1='{{4}}')
Step 6: {{6}} = subtract(arg_0='{{2}}', arg_1='{{5}}')",no,circular_dependency
nestful_021,"Cindy has her eye on a sundress but thinks it is too expensive. It goes on sale for 15% less than the original price. Before Cindy can buy the dress, however, the store raises the new price by 25%. If the dress cost $51 after it went on sale for 15% off, what is the difference between the original price and the final price?","Step 0: {{0}} = add(arg_0=100, arg_1=25)
Step 1: {{1}} = divide(arg_0='{{0}}', arg_1=100)
Step 2: {{2}} = multiply(arg_0=51, arg_1='{{1}}')
Step 3: {{3}} = subtract(arg_0=100, arg_1=15)
Step 4: {{4}} = divide(arg_0='{{3}}', arg_1=100)
Step 5: {{5}} = divide(arg_0=51, arg_1='{{4}}')
Step 6: {{6}} = subtract(arg_0='{{2}}', arg_1='{{5}}')",yes,none
nestful_022,"Cindy has her eye on a sundress but thinks it is too expensive. It goes on sale for 15% less than the original price. Before Cindy can buy the dress, however, the store raises the new price by 25%. If the dress cost $51 after it went on sale for 15% off, what is the difference between the original price and the final price?","Step 0: {{0}} = add(arg_0=100, arg_1=25)
Step 1: {{1}} = divide(arg_0='{{2}}', arg_1=100)
Step 2: {{2}} = multiply(arg_0=51, arg_1='{{1}}')
Step 3: {{3}} = subtract(arg_0=100, arg_1=15)
Step 4: {{4}} = divide(arg_0='{{3}}', arg_1=100)
Step 5: {{5}} = divide(arg_0=51, arg_1='{{4}}')
Step 6: {{6}} = subtract(arg_0='{{2}}', arg_1='{{5}}')",no,circular_dependency
nestful_023,"Cindy has her eye on a sundress but thinks it is too expensive. It goes on sale for 15% less than the original price. Before Cindy can buy the dress, however, the store raises the new price by 25%. If the dress cost $51 after it went on sale for 15% off, what is the difference between the original price and the final price?","Step 0: {{0}} = add(arg_0=100, arg_1=25)
Step 1: {{1}} = divide(arg_0='{{0}}', arg_1=100)
Step 2: {{2}} = multiply(arg_0=51, arg_1='{{1}}')
Step 3: {{3}} = divide(arg_0=100, arg_1=15)
Step 4: {{4}} = divide(arg_0='{{3}}', arg_1=100)
Step 5: {{5}} = divide(arg_0=51, arg_1='{{4}}')
Step 6: {{6}} = subtract(arg_0='{{2}}', arg_1='{{5}}')",yes,none
nestful_024,"Given a + b = 1, find the value of 2a + 2b. Two solutions are presented below. Only
one is correct, even though both yield the correct answer.","Step 0: {{0}} = add(arg_0=2, arg_1=1)
Step 1: {{1}} = add(arg_0='hardcoded_value', arg_1=2)
Step 2: {{2}} = add(arg_0=2, arg_1=1)
Step 3: {{3}} = subtract(arg_0='{{1}}', arg_1='{{2}}')",no,missing_dependency
nestful_025,"The operation is defined for all integers a and b by the equation ab = (a - 1)(b - 1). If x20 = 190, what is the value of x ?","Step 0: {{0}} = subtract(arg_0=20, arg_1=1)
Step 1: {{1}} = circumface(arg_0=190, arg_1='{{0}}')
Step 2: {{2}} = add(arg_0='{{1}}', arg_1=1)",no,wrong_tool
nestful_026,"Given a + b = 1, find the value of 2a + 2b. Two solutions are presented below. Only
one is correct, even though both yield the correct answer.","Step 0: {{0}} = add(arg_0=2, arg_1=1)
Step 1: {{1}} = add(arg_0='{{0}}', arg_1=2)
Step 2: {{3}} = subtract(arg_0='{{1}}', arg_1='{{2}}')
Step 3: {{2}} = add(arg_0=2, arg_1=1)",no,forward_reference
nestful_027,"Given a + b = 1, find the value of 2a + 2b. Two solutions are presented below. Only
one is correct, even though both yield the correct answer.","Step 0: {{0}} = add(arg_0=3, arg_1=1)
Step 1: {{1}} = add(arg_0='{{0}}', arg_1=2)
Step 2: {{2}} = add(arg_0=2, arg_1=1)
Step 3: {{3}} = subtract(arg_0='{{1}}', arg_1='{{2}}')",yes,none
nestful_028,"The operation is defined for all integers a and b by the equation ab = (a - 1)(b - 1). If x20 = 190, what is the value of x ?","Step 0: {{0}} = subtract(arg_0=20, arg_1=1)
Step 1: {{1}} = divide(arg_0=190, arg_1='{{0}}')
Step 2: {{2}} = add(arg_0='{{1}}', arg_1=1)",yes,none
nestful_029,The volume of a cube is 2197 cc. Find its surface.,"Step 0: {{0}} = cube_edge_by_volume(arg_0='invalid_string')
Step 1: {{1}} = surface_cube(arg_0='{{0}}')",no,type_mismatch
nestful_030,"The operation is defined for all integers a and b by the equation ab = (a - 1)(b - 1). If x20 = 190, what is the value of x ?","Step 0: {{0}} = subtract(arg_0=20, arg_1=1)
Step 1: {{1}} = subtract(arg_0=20, arg_1=1)
Step 2: {{2}} = divide(arg_0=190, arg_1='{{0}}')
Step 3: {{3}} = add(arg_0='{{2}}', arg_1=1)",yes,unnecessary_steps
nestful_031,I have a string 'hello-world-123'. I want to remove all words with length 3 or less from it and then get the short hostname from the resulting string.,"Step 0: {{0}} = remove_short_words(text='hello-world-123')
Step 1: {{1}} = traverse_diagonal(node_name='{{0}}')",no,wrong_tool
nestful_032,"Given a + b = 1, find the value of 2a + 2b. Two solutions are presented below. Only
one is correct, even though both yield the correct answer.","Step 0: {{0}} = add(arg_0=2, arg_1=1)
Step 1: {{1}} = add(arg_0='{{2}}', arg_1=2)
Step 2: {{2}} = add(arg_0=2, arg_1=1)
Step 3: {{3}} = subtract(arg_0='{{1}}', arg_1='{{2}}')",no,forward_reference
nestful_033,"The operation is defined for all integers a and b by the equation ab = (a - 1)(b - 1). If x20 = 190, what is the value of x ?","Step 0: {{0}} = subtract(arg_0=20, arg_1=1)
Step 1: {{1}} = divide(arg_0='invalid_string', arg_1='{{0}}')
Step 2: {{2}} = add(arg_0='{{1}}', arg_1=1)",no,type_mismatch
nestful_034,"Cindy has her eye on a sundress but thinks it is too expensive. It goes on sale for 15% less than the original price. Before Cindy can buy the dress, however, the store raises the new price by 25%. If the dress cost $51 after it went on sale for 15% off, what is the difference between the original price and the final price?","Step 0: {{0}} = add(arg_0=100, arg_1=25)
Step 1: {{1}} = divide(arg_0='{{0}}', arg_1=100)
Step 2: {{2}} = multiply(arg_0=51, arg_1='{{1}}')
Step 3: {{3}} = add(arg_0=100, arg_1=25)
Step 4: {{4}} = subtract(arg_0=100, arg_1=15)
Step 5: {{5}} = divide(arg_0='{{4}}', arg_1=100)
Step 6: {{6}} = divide(arg_0=51, arg_1='{{5}}')
Step 7: {{7}} = subtract(arg_0='{{2}}', arg_1='{{6}}')",yes,unnecessary_steps
nestful_035,"The operation is defined for all integers a and b by the equation ab = (a - 1)(b - 1). If x20 = 190, what is the value of x ?","Step 0: {{0}} = subtract(arg_0=20, arg_1=1)
Step 1: {{1}} = divide(arg_0=190, arg_1='{{0}}')",no,incomplete_plan
nestful_036,X does a work in 40 days. Y does the same work in 60 days. In how many days they together will do the same work?,"Step 0: {{0}} = divide(arg_0=1, arg_1=40)
Step 1: {{1}} = divide(arg_0=1, arg_1=60)
Step 2: {{3}} = inverse(arg_0='{{2}}')
Step 3: {{2}} = add(arg_0='{{0}}', arg_1='{{1}}')",no,forward_reference
nestful_037,I have a string 'hello-world-123'. I want to remove all words with length 3 or less from it and then get the short hostname from the resulting string.,"Step 0: {{0}} = remove_short_words(text='hellox-world-123')
Step 1: {{1}} = short_hostname(node_name='{{0}}')",yes,none
nestful_038,The volume of a cube is 2197 cc. Find its surface.,"Step 0: {{0}} = cube_edge_by_volume(arg_0=2197)
Step 1: {{1}} = surface_cube(arg_0='{{0}}')",yes,none
nestful_039,I have a string 'hello-world-123'. I want to remove all words with length 3 or less from it and then get the short hostname from the resulting string.,Step 0: {{0}} = remove_short_words(text='hello-world-123'),no,incomplete_plan
nestful_040,"Cindy has her eye on a sundress but thinks it is too expensive. It goes on sale for 15% less than the original price. Before Cindy can buy the dress, however, the store raises the new price by 25%. If the dress cost $51 after it went on sale for 15% off, what is the difference between the original price and the final price?","Step 0: {{0}} = add(arg_0=100, arg_1=25)
Step 1: {{1}} = divide(arg_0='{{0}}', arg_1=100)
Step 2: {{2}} = multiply(arg_0=51, arg_1='{{1}}')
Step 3: {{3}} = subtract(arg_0='invalid_string', arg_1=15)
Step 4: {{4}} = divide(arg_0='{{3}}', arg_1=100)
Step 5: {{5}} = divide(arg_0=51, arg_1='{{4}}')
Step 6: {{6}} = subtract(arg_0='{{2}}', arg_1='{{5}}')",no,type_mismatch
nestful_041,"Given a + b = 1, find the value of 2a + 2b. Two solutions are presented below. Only
one is correct, even though both yield the correct answer.","Step 0: {{0}} = add(arg_0=2, arg_1=1)
Step 1: {{1}} = add(arg_0='{{0}}', arg_1=2)
Step 2: {{2}} = add(arg_0=2, arg_1=1)",no,incomplete_plan
nestful_042,"The operation is defined for all integers a and b by the equation ab = (a - 1)(b - 1). If x20 = 190, what is the value of x ?","Step 0: {{0}} = subtract(arg_0=20, arg_1=1)
Step 1: {{2}} = add(arg_0='{{1}}', arg_1=1)
Step 2: {{1}} = divide(arg_0=190, arg_1='{{0}}')",no,forward_reference
nestful_043,"The operation is defined for all integers a and b by the equation ab = (a - 1)(b - 1). If x20 = 190, what is the value of x ?","Step 0: {{0}} = subtract(arg_0=20, arg_1=1)
Step 1: {{1}} = divide(arg_0='{{2}}', arg_1='{{0}}')
Step 2: {{2}} = add(arg_0='{{1}}', arg_1=1)",no,circular_dependency
nestful_044,X does a work in 40 days. Y does the same work in 60 days. In how many days they together will do the same work?,"Step 0: {{0}} = divide(arg_0=1, arg_1=40)
Step 1: {{1}} = divide(arg_0='{{2}}', arg_1=60)
Step 2: {{2}} = add(arg_0='{{0}}', arg_1='{{1}}')
Step 3: {{3}} = inverse(arg_0='{{2}}')",no,circular_dependency
nestful_045,"Given a + b = 1, find the value of 2a + 2b. Two solutions are presented below. Only
one is correct, even though both yield the correct answer.","Step 0: {{0}} = add(arg_0=2, arg_1=1)
Step 1: {{1}} = add(arg_0='{{0}}', arg_1=2)
Step 2: {{2}} = add(arg_0='invalid_string', arg_1=1)
Step 3: {{3}} = subtract(arg_0='{{1}}', arg_1='{{2}}')",no,type_mismatch
nestful_046,I have a string 'hello-world-123'. I want to remove all words with length 3 or less from it and then get the short hostname from the resulting string.,"Step 0: {{0}} = remove_short_words(text='hello-world-123')
Step 1: {{1}} = short_hostname(node_name='{{0}}')",yes,none
nestful_047,The volume of a cube is 2197 cc. Find its surface.,Step 0: {{0}} = cube_edge_by_volume(arg_0=2197),no,incomplete_plan
nestful_048,"The operation is defined for all integers a and b by the equation ab = (a - 1)(b - 1). If x20 = 190, what is the value of x ?","Step 0: {{0}} = subtract(arg_0=20, arg_1=1)
Step 1: {{1}} = divide(arg_0=190, arg_1='hardcoded_value')
Step 2: {{2}} = add(arg_0='{{1}}', arg_1=1)",no,missing_dependency
nestful_049,The volume of a cube is 2197 cc. Find its surface.,"Step 0: {{0}} = cube_edge_by_volume(arg_0=2197)
Step 1: {{1}} = surface_cube(arg_0='{{1}}')",no,circular_dependency
